customer_id,age,marital_status,employment_status,city,household_dependents,monthly_income,credit_history_type,outstanding_liabilities,Total_Credits,Total_Debits,yearly_income,debt_to_income_ratio,spend_to_income,life_stability_score,life_stability_score_adj,base_risk_score,final_risk_label
69837,28,Single,Salaried,Karachi,1,2271876,Thick File,107958470.4777772,22097872.87156035,6825919.001297241,27262512,3.9599603484013817,0.3088948303792295,0.89,0.8549417791288897,1.7283618852110607,High
51201,55,Married,Salaried,Rawalpindi,3,416654,Thin File,7376086.428812496,3479599.9784393623,1069312.6473252925,4999848,1.4752618386700271,0.30730898570010473,0.7700000000000001,0.632716080795398,0.789483860264198,Low
67560,35,Married,Salaried,Karachi,4,283175,No Credit History,0.0,2591656.044491764,895667.8273548854,3398100,0.0,0.3455965862684312,0.95,0.9473389823307615,0.13412405961126053,Low
37924,49,Single,Self-Employed,Islamabad,1,360741,No Credit History,0.0,1045415.77,874181.3200000001,4328892,0.0,0.8362036511046212,0.66,0.4193591638191916,0.4378314869318195,Low
14233,24,Single,Salaried,Karachi,1,150079,No Credit History,0.0,1325386.69,478075.44,1800948,0.0,0.3607061115830946,0.8,0.691375960094105,0.20340314903055687,Low
56998,35,Single,Self-Employed,Karachi,3,316371,Thin File,4589169.591069846,1033595.3855834246,949873.2871406708,3796452,1.2088045317747504,0.9189982670116484,0.74,0.573421724031149,0.9118157751561898,Low
1235,22,Single,Salaried,Islamabad,1,117649,No Credit History,0.0,1115247.08,293555.74,1411788,0.0,0.26322012587549126,0.8,0.691375960094105,0.1692830540328957,Low
33754,63,Married,Salaried,Rawalpindi,5,63642,No Credit History,0.0,613001.47,165212.86,763704,0.0,0.2695141831973369,0.7000000000000002,0.49502075555901237,0.22057477522931482,Low
72548,34,Single,Self-Employed,Islamabad,1,653435,Thick File,27259831.69445689,2426287.931497948,2282164.705753934,7841220,3.476477922820552,0.9405989023512407,0.78,0.6523863358043704,1.8067042010000627,High
82143,27,Single,Salaried,Karachi,1,610483,Thick File,34204144.96282432,5553710.71238763,1751449.877999442,7325796,4.668999832076199,0.3153656453021876,0.89,0.8549417791288897,2.014242463904023,High
33039,43,Single,Salaried,Faisalabad,3,416825,Thin File,5589435.543372144,3982650.03,1124916.66,5001900,1.1174622495271587,0.28245423752329113,0.8,0.691375960094105,0.6229998929204891,Low
45524,65,Married,Salaried,Lahore,4,59910,No Credit History,0.0,594161.27,166820.44,718920,0.0,0.2807657914730937,0.8,0.691375960094105,0.17542403699205655,Low
