customer_id,age,marital_status,employment_status,city,household_dependents,monthly_income,credit_history_type,outstanding_liabilities,Total_Credits,Total_Debits
69837,28,Single,Salaried,Karachi,1,2271876,Thick File,107958470.4777772,22097872.87156035,6825919.001297241
51201,55,Married,Salaried,Rawalpindi,3,416654,Thin File,7376086.428812496,3479599.9784393623,1069312.6473252925
67560,35,Married,Salaried,Karachi,4,283175,No Credit History,0.0,2591656.044491764,895667.8273548854
37924,49,Single,Self-Employed,Islamabad,1,360741,No Credit History,0.0,1045415.77,874181.3200000001
14233,24,Single,Salaried,Karachi,1,150079,No Credit History,0.0,1325386.69,478075.44
56998,35,Single,Self-Employed,Karachi,3,316371,Thin File,4589169.591069846,1033595.3855834246,949873.2871406708
1235,22,Single,Salaried,Islamabad,1,117649,No Credit History,0.0,1115247.08,293555.74
33754,63,Married,Salaried,Rawalpindi,5,63642,No Credit History,0.0,613001.47,165212.86
72548,34,Single,Self-Employed,Islamabad,1,653435,Thick File,27259831.69445689,2426287.931497948,2282164.705753934
82143,27,Single,Salaried,Karachi,1,610483,Thick File,34204144.96282432,5553710.71238763,1751449.877999442
33039,43,Single,Salaried,Faisalabad,3,416825,Thin File,5589435.543372144,3982650.03,1124916.66
45524,65,Married,Salaried,Lahore,4,59910,No Credit History,0.0,594161.27,166820.44
83214,52,Married,Salaried,Faisalabad,1,662068,Thick File,36669325.21677098,5752743.1060221335,1759048.5371003554
58471,28,Single,Salaried,Karachi,1,1172673,Thick File,24228817.59415118,11101332.491049228,3177365.2403927017
72289,49,Single,Salaried,Islamabad,4,936390,Thick File,45981884.29665616,8538806.331985824,2373957.6147861206
69776,58,Married,Salaried,Islamabad,4,754070,Thin File,38094570.014791496,6836001.026802303,1958082.915537528
6320,63,Married,Salaried,Lahore,3,72228,No Credit History,0.0,539854.65,141013.43
73279,44,Single,Salaried,Lahore,1,1503299,Thin File,89211093.1650521,12187236.552714184,4727224.608835529
28090,49,Single,Self-Employed,Islamabad,3,470662,Thin File,2231729.2394192657,1282272.4,1689989.7000000002
58706,55,Married,Salaried,Karachi,4,731412,Thin File,17353667.76634472,6634977.769445922,1797943.4647460424
9931,52,Married,Salaried,Karachi,6,1922061,Thin File,86389301.55727556,17865226.23,6070323.98
76809,54,Married,Salaried,Lahore,3,642887,Thin File,35633523.91044434,5559514.216305164,2741647.78205806
15387,42,Married,Salaried,Karachi,4,773078,Thick File,7188849.1784208175,6836363.18,1674014.73
34754,34,Single,Salaried,Islamabad,1,224409,No Credit History,0.0,1871742.45,611987.84
45670,59,Married,Self-Employed,Lahore,3,150411,No Credit History,0.0,454041.11,500252.55
55039,54,Married,Salaried,Lahore,1,625236,Thick File,16018891.069802526,5792401.398315975,2008535.735866452
59113,44,Married,Self-Employed,Lahore,3,769338,Thick File,6489048.719522919,2195254.243894085,2563779.208481483
63791,52,Married,Salaried,Faisalabad,3,88046,No Credit History,0.0,871022.6290220801,211034.5172962214
43780,53,Married,Salaried,Karachi,4,675024,Thick File,38107494.82606924,5756309.44,2079543.0
14596,45,Married,Salaried,Rawalpindi,3,539425,Thin File,29689280.66060216,4608106.05,1879870.84
919,61,Married,Salaried,Karachi,3,74070,No Credit History,0.0,551794.83,282747.35
23542,65,Married,Pensioner,Lahore,5,149763,No Credit History,0.0,439951.5500000001,448711.72
72258,38,Single,Salaried,Karachi,3,1444414,Thick File,82379500.12342788,12795635.494135853,4979716.650940924
32973,27,Single,Salaried,Karachi,1,193933,No Credit History,0.0,1857918.98,572181.02
21158,64,Married,Salaried,Lahore,5,53005,No Credit History,0.0,432073.65,177206.12
55713,54,Single,Self-Employed,Rawalpindi,2,567572,Thick File,18340564.27903028,1608824.412577689,1420777.4070790715
39331,27,Single,Salaried,Rawalpindi,1,135833,No Credit History,0.0,1163627.64,394706.98
60202,42,Married,Salaried,Karachi,3,749737,Thick File,26805826.04122285,6997383.55540259,2690285.5398778054
28442,33,Married,Self-Employed,Rawalpindi,3,597515,Thin File,29186463.626637407,1865730.12,1602109.53
81186,43,Single,Salaried,Islamabad,4,2517837,Thick File,146828227.31946322,22126961.504504908,7123508.990106583
40993,58,Married,Salaried,Karachi,3,940111,Thin File,47594407.924518906,6937713.48,3500283.25
37724,22,Single,Salaried,Karachi,1,108425,No Credit History,0.0,871565.6,364397.51
29401,65,Married,Pensioner,Karachi,4,73196,No Credit History,0.0,213984.74,220371.11
18059,25,Single,Salaried,Karachi,1,274083,No Credit History,0.0,2441313.05,622276.26
29047,65,Married,Self-Employed,Lahore,1,117512,No Credit History,0.0,368558.83,308870.36
36594,23,Single,Salaried,Islamabad,3,69088,No Credit History,0.0,683126.02,235222.77
62081,62,Married,Salaried,Karachi,3,195166,No Credit History,0.0,1685037.8454856784,784551.5470480956
44620,54,Married,Salaried,Islamabad,3,547213,Thick File,14174779.183446296,4347105.87,2125279.89
50080,46,Married,Salaried,Rawalpindi,2,679654,Thick File,28618987.735309035,6656015.473817763,2090286.657931703
